Units,Regularization Parameter,Epochs,Batch Size,Training Accuracy (%),Test Accuracy (%),Training RMSE,Test RMSE,MSE
"(8, 8)",0.1,30,16,-32.03460432681875,-25.636716254315473,1.7800192546944675,1.781338113118262,3.17316547324773
"(8, 8)",0.1,30,32,-32.16345395676498,-25.960227809592595,1.786962120423855,1.8029730420617252,3.2507117904013114
"(8, 8)",0.1,30,64,-35.93175993609884,-28.369913702096014,1.9900115389800517,1.9641214839333576,3.857773203648575
"(8, 8)",0.1,50,16,-26.884685591170268,-22.23799794699444,1.5025237406306287,1.5540478420961017,2.4150646955235504
"(8, 8)",0.1,50,32,-31.44152289113878,-25.10501505236767,1.7480619663713521,1.745780441264962,3.0477493491032854
"(8, 8)",0.1,50,64,-32.84568396007469,-26.566462306322492,1.8237230433036145,1.8435151495873503,3.3985481067580707
"(8, 8)",0.1,60,16,-24.904875486237362,-20.95917709226045,1.3958446936363151,1.468526327107592,2.156569573408114
"(8, 8)",0.1,60,32,-32.17363222352442,-25.644799339291893,1.7875105607996495,1.7818786717668051,3.1750916008974337
"(8, 8)",0.1,60,64,-30.269693865401628,-24.647115948361076,1.6849197471279813,1.7151583060835092,2.9417680149272525
"(8, 8)",0.1,70,16,-25.48596541020312,-21.322626124756297,1.4271558376456372,1.4928320864053777,2.228547638201433
"(8, 8)",0.1,70,32,-30.70468359909913,-24.803340152000654,1.7083585052833918,1.7256058449421943,2.9777155320986646
"(8, 8)",0.1,70,64,-33.32548229685965,-26.36813159131673,1.8495762446738593,1.83025172558761,3.3498213790164244
"(8, 8)",0.5,30,16,-31.17999932688648,-25.26820510975193,1.7339701681067217,1.7566938236100338,3.0859731899096405
"(8, 8)",0.5,30,32,-32.79466337030219,-26.151666972246208,1.8209738766636137,1.8157755915022205,3.297040998695239
"(8, 8)",0.5,30,64,-33.588755254752996,-26.564513775287026,1.8637623063458642,1.843384841010087,3.398067672065784
"(8, 8)",0.5,50,16,-25.155545588380452,-21.042492673666818,1.409351669653845,1.4740980807411397,2.1729651516447115
"(8, 8)",0.5,50,32,-30.035862415869016,-24.12176733629979,1.6723200962163687,1.6800254655184887,2.822485564790615
"(8, 8)",0.5,50,64,-33.667536044519814,-26.544008470336195,1.8680072890100314,1.8420135428034579,3.393013891871346
"(8, 8)",0.5,60,16,-25.52695905326295,-21.36463200489844,1.4293647175597013,1.4956412418041838,2.236942724185561
"(8, 8)",0.5,60,32,-31.04781002203078,-24.98078053692554,1.7268473490900338,1.7374722220682361,3.018809722458734
"(8, 8)",0.5,60,64,-31.91771710001992,-26.002847364698496,1.7737209648081607,1.8058232371514438,3.2609975638361193
